Código Capítulo;Capítulo Descripción;Exportaciones;Mes;NUM;Año
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;931718.2105;Abril;4;2020
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;398679.2719;Mayo;5;2020
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1116431.13;Junio;6;2020
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;768534.4512;Julio;7;2020
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1233027.388;Agosto;8;2020
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;846965.1148;Septiembre;9;2020
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;784900.3131;Octubre;10;2020
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;705727.9115;Noviembre;11;2020
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;879415.2641;Diciembre;12;2020
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1057811.365;Enero;1;2021
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;990385.6911;Febrero;2;2021
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;932034.4674;Marzo;3;2021
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;719419.9123;Abril;4;2021
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;339054.4924;Mayo;5;2021
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;494715.2386;Junio;6;2021
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;771492.6071;Julio;7;2021
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;495894.1274;Agosto;8;2021
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;280520.3426;Septiembre;9;2021
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;387300.2453;Octubre;10;2021
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;657065.7743;Noviembre;11;2021
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1699418.035;Diciembre;12;2021
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;571397.5685;Enero;1;2022
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;604756.021;Febrero;2;2022
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;973686.7296;Marzo;3;2022
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;556360.1179;Abril;4;2022
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;204997.1213;Mayo;5;2022
